,m,q,r,n,k,d,k*
1,3,0,1,8,3,2,2
4,4,0,1,16,4,2,3
10,5,0,1,32,5,2,4
11,5,0,2,32,15,2,2
20,6,0,1,64,6,2,5
21,6,0,2,64,21,2,2
22,6,1,2,64,15,4,2
35,7,0,1,128,7,2,6
36,7,0,2,128,28,2,3
37,7,1,2,128,21,4,2
38,7,0,3,128,63,2,2
56,8,0,1,256,8,2,7
57,8,0,2,256,36,2,3
58,8,1,2,256,28,4,3
59,8,0,3,256,92,2,2
60,8,1,3,256,84,4,2
84,9,0,1,512,9,2,8
85,9,0,2,512,45,2,4
86,9,1,2,512,36,4,3
87,9,0,3,512,129,2,2
88,9,1,3,512,120,4,2
89,9,2,3,512,84,8,2
90,9,0,4,512,255,2,2
120,10,0,1,1024,10,2,9
121,10,0,2,1024,55,2,4
122,10,1,2,1024,45,4,4
123,10,0,3,1024,175,2,3
124,10,1,3,1024,165,4,2
125,10,2,3,1024,120,8,2
126,10,0,4,1024,385,2,2
127,10,1,4,1024,375,4,2
165,11,0,1,2048,11,2,10
166,11,0,2,2048,66,2,5
167,11,1,2,2048,55,4,4
168,11,0,3,2048,231,2,3
169,11,1,3,2048,220,4,3
170,11,2,3,2048,165,8,2
171,11,0,4,2048,561,2,2
172,11,1,4,2048,550,4,2
173,11,2,4,2048,495,8,2
175,11,0,5,2048,1023,2,2
220,12,0,1,4096,12,2,11
221,12,0,2,4096,78,2,5
222,12,1,2,4096,66,4,5
223,12,0,3,4096,298,2,3
224,12,1,3,4096,286,4,3
225,12,2,3,4096,220,8,3
226,12,0,4,4096,793,2,2
227,12,1,4,4096,781,4,2
228,12,2,4,4096,715,8,2
229,12,3,4,4096,495,16,2
230,12,0,5,4096,1585,2,2
231,12,1,5,4096,1573,4,2
286,13,0,1,8192,13,2,12
287,13,0,2,8192,91,2,6
288,13,1,2,8192,78,4,5
289,13,0,3,8192,377,2,4
290,13,1,3,8192,364,4,3
291,13,2,3,8192,286,8,3
292,13,0,4,8192,1092,2,3
293,13,1,4,8192,1079,4,2
294,13,2,4,8192,1001,8,2
295,13,3,4,8192,715,16,2
296,13,0,5,8192,2379,2,2
