,m,q,r,n,k,d,k*
0,2,0,1,4,2,2,1
1,3,0,1,8,3,2,2
2,3,0,2,8,6,2,1
3,3,1,2,8,3,2,0
4,4,0,1,16,4,2,3
5,4,0,2,16,10,2,1
6,4,1,2,16,6,4,1
7,4,0,3,16,14,2,1
8,4,1,3,16,10,2,0
9,4,2,3,16,4,2,0
10,5,0,1,32,5,2,4
11,5,0,2,32,15,2,2
12,5,1,2,32,10,4,1
13,5,0,3,32,25,2,1
14,5,1,3,32,20,4,1
15,5,2,3,32,10,4,0
16,5,0,4,32,30,2,1
17,5,1,4,32,25,2,0
18,5,2,4,32,15,2,0
19,5,3,4,32,5,2,0
20,6,0,1,64,6,2,5
21,6,0,2,64,21,2,2
22,6,1,2,64,15,4,2
23,6,0,3,64,41,2,1
24,6,1,3,64,35,4,1
25,6,2,3,64,20,8,1
26,6,0,4,64,56,2,1
27,6,1,4,64,50,4,1
28,6,2,4,64,35,4,0
29,6,3,4,64,15,4,0
30,6,0,5,64,62,2,1
31,6,1,5,64,56,2,0
32,6,2,5,64,41,2,0
33,6,3,5,64,21,2,0
34,6,4,5,64,6,2,0
35,7,0,1,128,7,2,6
36,7,0,2,128,28,2,3
37,7,1,2,128,21,4,2
38,7,0,3,128,63,2,2
39,7,1,3,128,56,4,1
40,7,2,3,128,35,8,1
41,7,0,4,128,98,2,1
42,7,1,4,128,91,4,1
43,7,2,4,128,70,8,1
44,7,3,4,128,35,8,0
45,7,0,5,128,119,2,1
46,7,1,5,128,112,4,1
47,7,2,5,128,91,4,0
48,7,3,5,128,56,4,0
49,7,4,5,128,21,4,0
50,7,0,6,128,126,2,1
51,7,1,6,128,119,2,0
52,7,2,6,128,98,2,0
53,7,3,6,128,63,2,0
54,7,4,6,128,28,2,0
55,7,5,6,128,7,2,0
56,8,0,1,256,8,2,7
57,8,0,2,256,36,2,3
58,8,1,2,256,28,4,3
59,8,0,3,256,92,2,2
60,8,1,3,256,84,4,2
61,8,2,3,256,56,8,1
62,8,0,4,256,162,2,1
63,8,1,4,256,154,4,1
64,8,2,4,256,126,8,1
65,8,3,4,256,70,16,1
66,8,0,5,256,218,2,1
67,8,1,5,256,210,4,1
68,8,2,5,256,182,8,1
69,8,3,5,256,126,8,0
70,8,4,5,256,56,8,0
71,8,0,6,256,246,2,1
72,8,1,6,256,238,4,1
73,8,2,6,256,210,4,0
74,8,3,6,256,154,4,0
75,8,4,6,256,84,4,0
76,8,5,6,256,28,4,0
77,8,0,7,256,254,2,1
78,8,1,7,256,246,2,0
79,8,2,7,256,218,2,0
80,8,3,7,256,162,2,0
81,8,4,7,256,92,2,0
82,8,5,7,256,36,2,0
83,8,6,7,256,8,2,0
84,9,0,1,512,9,2,8
85,9,0,2,512,45,2,4
86,9,1,2,512,36,4,3
87,9,0,3,512,129,2,2
88,9,1,3,512,120,4,2
89,9,2,3,512,84,8,2
90,9,0,4,512,255,2,2
91,9,1,4,512,246,4,1
92,9,2,4,512,210,8,1
93,9,3,4,512,126,16,1
94,9,0,5,512,381,2,1
95,9,1,5,512,372,4,1
96,9,2,5,512,336,8,1
97,9,3,5,512,252,16,1
98,9,4,5,512,126,16,0
99,9,0,6,512,465,2,1
100,9,1,6,512,456,4,1
101,9,2,6,512,420,8,1
102,9,3,6,512,336,8,0
103,9,4,6,512,210,8,0
104,9,5,6,512,84,8,0
105,9,0,7,512,501,2,1
106,9,1,7,512,492,4,1
107,9,2,7,512,456,4,0
108,9,3,7,512,372,4,0
109,9,4,7,512,246,4,0
110,9,5,7,512,120,4,0
111,9,6,7,512,36,4,0
112,9,0,8,512,510,2,1
113,9,1,8,512,501,2,0
114,9,2,8,512,465,2,0
115,9,3,8,512,381,2,0
116,9,4,8,512,255,2,0
117,9,5,8,512,129,2,0
118,9,6,8,512,45,2,0
119,9,7,8,512,9,2,0
120,10,0,1,1024,10,2,9
121,10,0,2,1024,55,2,4
122,10,1,2,1024,45,4,4
123,10,0,3,1024,175,2,3
124,10,1,3,1024,165,4,2
125,10,2,3,1024,120,8,2
126,10,0,4,1024,385,2,2
127,10,1,4,1024,375,4,2
128,10,2,4,1024,330,8,1
129,10,3,4,1024,210,16,1
130,10,0,5,1024,637,2,1
131,10,1,5,1024,627,4,1
132,10,2,5,1024,582,8,1
133,10,3,5,1024,462,16,1
134,10,4,5,1024,252,32,1
135,10,0,6,1024,847,2,1
136,10,1,6,1024,837,4,1
137,10,2,6,1024,792,8,1
138,10,3,6,1024,672,16,1
139,10,4,6,1024,462,16,0
140,10,5,6,1024,210,16,0
141,10,0,7,1024,967,2,1
142,10,1,7,1024,957,4,1
143,10,2,7,1024,912,8,1
144,10,3,7,1024,792,8,0
145,10,4,7,1024,582,8,0
146,10,5,7,1024,330,8,0
147,10,6,7,1024,120,8,0
148,10,0,8,1024,1012,2,1
149,10,1,8,1024,1002,4,1
150,10,2,8,1024,957,4,0
151,10,3,8,1024,837,4,0
152,10,4,8,1024,627,4,0
153,10,5,8,1024,375,4,0
154,10,6,8,1024,165,4,0
155,10,7,8,1024,45,4,0
156,10,0,9,1024,1022,2,1
157,10,1,9,1024,1012,2,0
158,10,2,9,1024,967,2,0
159,10,3,9,1024,847,2,0
160,10,4,9,1024,637,2,0
161,10,5,9,1024,385,2,0
162,10,6,9,1024,175,2,0
163,10,7,9,1024,55,2,0
164,10,8,9,1024,10,2,0
165,11,0,1,2048,11,2,10
166,11,0,2,2048,66,2,5
167,11,1,2,2048,55,4,4
168,11,0,3,2048,231,2,3
169,11,1,3,2048,220,4,3
170,11,2,3,2048,165,8,2
171,11,0,4,2048,561,2,2
172,11,1,4,2048,550,4,2
173,11,2,4,2048,495,8,2
174,11,3,4,2048,330,16,1
175,11,0,5,2048,1023,2,2
176,11,1,5,2048,1012,4,1
177,11,2,5,2048,957,8,1
178,11,3,5,2048,792,16,1
179,11,4,5,2048,462,32,1
180,11,0,6,2048,1485,2,1
181,11,1,6,2048,1474,4,1
182,11,2,6,2048,1419,8,1
183,11,3,6,2048,1254,16,1
184,11,4,6,2048,924,32,1
185,11,5,6,2048,462,32,0
186,11,0,7,2048,1815,2,1
187,11,1,7,2048,1804,4,1
188,11,2,7,2048,1749,8,1
189,11,3,7,2048,1584,16,1
190,11,4,7,2048,1254,16,0
191,11,5,7,2048,792,16,0
192,11,6,7,2048,330,16,0
193,11,0,8,2048,1980,2,1
194,11,1,8,2048,1969,4,1
195,11,2,8,2048,1914,8,1
196,11,3,8,2048,1749,8,0
197,11,4,8,2048,1419,8,0
198,11,5,8,2048,957,8,0
199,11,6,8,2048,495,8,0
200,11,7,8,2048,165,8,0
201,11,0,9,2048,2035,2,1
202,11,1,9,2048,2024,4,1
203,11,2,9,2048,1969,4,0
204,11,3,9,2048,1804,4,0
205,11,4,9,2048,1474,4,0
206,11,5,9,2048,1012,4,0
207,11,6,9,2048,550,4,0
208,11,7,9,2048,220,4,0
209,11,8,9,2048,55,4,0
210,11,0,10,2048,2046,2,1
211,11,1,10,2048,2035,2,0
212,11,2,10,2048,1980,2,0
213,11,3,10,2048,1815,2,0
214,11,4,10,2048,1485,2,0
215,11,5,10,2048,1023,2,0
216,11,6,10,2048,561,2,0
217,11,7,10,2048,231,2,0
218,11,8,10,2048,66,2,0
219,11,9,10,2048,11,2,0
220,12,0,1,4096,12,2,11
221,12,0,2,4096,78,2,5
222,12,1,2,4096,66,4,5
223,12,0,3,4096,298,2,3
224,12,1,3,4096,286,4,3
225,12,2,3,4096,220,8,3
226,12,0,4,4096,793,2,2
227,12,1,4,4096,781,4,2
228,12,2,4,4096,715,8,2
229,12,3,4,4096,495,16,2
230,12,0,5,4096,1585,2,2
231,12,1,5,4096,1573,4,2
232,12,2,5,4096,1507,8,1
233,12,3,5,4096,1287,16,1
234,12,4,5,4096,792,32,1
235,12,0,6,4096,2509,2,1
236,12,1,6,4096,2497,4,1
237,12,2,6,4096,2431,8,1
238,12,3,6,4096,2211,16,1
239,12,4,6,4096,1716,32,1
240,12,5,6,4096,924,64,1
241,12,0,7,4096,3301,2,1
242,12,1,7,4096,3289,4,1
243,12,2,7,4096,3223,8,1
244,12,3,7,4096,3003,16,1
245,12,4,7,4096,2508,32,1
246,12,5,7,4096,1716,32,0
247,12,6,7,4096,792,32,0
248,12,0,8,4096,3796,2,1
249,12,1,8,4096,3784,4,1
250,12,2,8,4096,3718,8,1
251,12,3,8,4096,3498,16,1
252,12,4,8,4096,3003,16,0
253,12,5,8,4096,2211,16,0
254,12,6,8,4096,1287,16,0
255,12,7,8,4096,495,16,0
256,12,0,9,4096,4016,2,1
257,12,1,9,4096,4004,4,1
258,12,2,9,4096,3938,8,1
259,12,3,9,4096,3718,8,0
260,12,4,9,4096,3223,8,0
261,12,5,9,4096,2431,8,0
262,12,6,9,4096,1507,8,0
263,12,7,9,4096,715,8,0
264,12,8,9,4096,220,8,0
265,12,0,10,4096,4082,2,1
266,12,1,10,4096,4070,4,1
267,12,2,10,4096,4004,4,0
268,12,3,10,4096,3784,4,0
269,12,4,10,4096,3289,4,0
270,12,5,10,4096,2497,4,0
271,12,6,10,4096,1573,4,0
272,12,7,10,4096,781,4,0
273,12,8,10,4096,286,4,0
274,12,9,10,4096,66,4,0
275,12,0,11,4096,4094,2,1
276,12,1,11,4096,4082,2,0
277,12,2,11,4096,4016,2,0
278,12,3,11,4096,3796,2,0
279,12,4,11,4096,3301,2,0
280,12,5,11,4096,2509,2,0
281,12,6,11,4096,1585,2,0
282,12,7,11,4096,793,2,0
283,12,8,11,4096,298,2,0
284,12,9,11,4096,78,2,0
285,12,10,11,4096,12,2,0
286,13,0,1,8192,13,2,12
287,13,0,2,8192,91,2,6
288,13,1,2,8192,78,4,5
289,13,0,3,8192,377,2,4
290,13,1,3,8192,364,4,3
291,13,2,3,8192,286,8,3
292,13,0,4,8192,1092,2,3
293,13,1,4,8192,1079,4,2
294,13,2,4,8192,1001,8,2
295,13,3,4,8192,715,16,2
296,13,0,5,8192,2379,2,2
297,13,1,5,8192,2366,4,2
298,13,2,5,8192,2288,8,2
299,13,3,5,8192,2002,16,1
300,13,4,5,8192,1287,32,1
301,13,0,6,8192,4095,2,2
302,13,1,6,8192,4082,4,1
303,13,2,6,8192,4004,8,1
304,13,3,6,8192,3718,16,1
305,13,4,6,8192,3003,32,1
306,13,5,6,8192,1716,64,1
307,13,0,7,8192,5811,2,1
308,13,1,7,8192,5798,4,1
309,13,2,7,8192,5720,8,1
310,13,3,7,8192,5434,16,1
311,13,4,7,8192,4719,32,1
312,13,5,7,8192,3432,64,1
313,13,6,7,8192,1716,64,0
314,13,0,8,8192,7098,2,1
315,13,1,8,8192,7085,4,1
316,13,2,8,8192,7007,8,1
317,13,3,8,8192,6721,16,1
318,13,4,8,8192,6006,32,1
319,13,5,8,8192,4719,32,0
320,13,6,8,8192,3003,32,0
321,13,7,8,8192,1287,32,0
322,13,0,9,8192,7813,2,1
323,13,1,9,8192,7800,4,1
324,13,2,9,8192,7722,8,1
325,13,3,9,8192,7436,16,1
326,13,4,9,8192,6721,16,0
327,13,5,9,8192,5434,16,0
328,13,6,9,8192,3718,16,0
329,13,7,9,8192,2002,16,0
330,13,8,9,8192,715,16,0
331,13,0,10,8192,8099,2,1
332,13,1,10,8192,8086,4,1
333,13,2,10,8192,8008,8,1
334,13,3,10,8192,7722,8,0
335,13,4,10,8192,7007,8,0
336,13,5,10,8192,5720,8,0
337,13,6,10,8192,4004,8,0
338,13,7,10,8192,2288,8,0
339,13,8,10,8192,1001,8,0
340,13,9,10,8192,286,8,0
341,13,0,11,8192,8177,2,1
342,13,1,11,8192,8164,4,1
343,13,2,11,8192,8086,4,0
344,13,3,11,8192,7800,4,0
345,13,4,11,8192,7085,4,0
346,13,5,11,8192,5798,4,0
347,13,6,11,8192,4082,4,0
348,13,7,11,8192,2366,4,0
349,13,8,11,8192,1079,4,0
350,13,9,11,8192,364,4,0
351,13,10,11,8192,78,4,0
352,13,0,12,8192,8190,2,1
353,13,1,12,8192,8177,2,0
354,13,2,12,8192,8099,2,0
355,13,3,12,8192,7813,2,0
356,13,4,12,8192,7098,2,0
357,13,5,12,8192,5811,2,0
358,13,6,12,8192,4095,2,0
359,13,7,12,8192,2379,2,0
360,13,8,12,8192,1092,2,0
361,13,9,12,8192,377,2,0
362,13,10,12,8192,91,2,0
363,13,11,12,8192,13,2,0
364,14,0,1,16384,14,2,13
365,14,0,2,16384,105,2,6
366,14,1,2,16384,91,4,6
367,14,0,3,16384,469,2,4
368,14,1,3,16384,455,4,4
369,14,2,3,16384,364,8,3
370,14,0,4,16384,1470,2,3
371,14,1,4,16384,1456,4,3
372,14,2,4,16384,1365,8,2
373,14,3,4,16384,1001,16,2
374,14,0,5,16384,3472,2,2
375,14,1,5,16384,3458,4,2
376,14,2,5,16384,3367,8,2
377,14,3,5,16384,3003,16,2
378,14,4,5,16384,2002,32,1
379,14,0,6,16384,6475,2,2
380,14,1,6,16384,6461,4,2
381,14,2,6,16384,6370,8,1
382,14,3,6,16384,6006,16,1
383,14,4,6,16384,5005,32,1
384,14,5,6,16384,3003,64,1
385,14,0,7,16384,9907,2,1
386,14,1,7,16384,9893,4,1
387,14,2,7,16384,9802,8,1
388,14,3,7,16384,9438,16,1
389,14,4,7,16384,8437,32,1
390,14,5,7,16384,6435,64,1
391,14,6,7,16384,3432,128,1
392,14,0,8,16384,12910,2,1
393,14,1,8,16384,12896,4,1
394,14,2,8,16384,12805,8,1
395,14,3,8,16384,12441,16,1
396,14,4,8,16384,11440,32,1
397,14,5,8,16384,9438,64,1
398,14,6,8,16384,6435,64,0
399,14,7,8,16384,3003,64,0
400,14,0,9,16384,14912,2,1
401,14,1,9,16384,14898,4,1
402,14,2,9,16384,14807,8,1
403,14,3,9,16384,14443,16,1
404,14,4,9,16384,13442,32,1
405,14,5,9,16384,11440,32,0
406,14,6,9,16384,8437,32,0
407,14,7,9,16384,5005,32,0
408,14,8,9,16384,2002,32,0
409,14,0,10,16384,15913,2,1
410,14,1,10,16384,15899,4,1
411,14,2,10,16384,15808,8,1
412,14,3,10,16384,15444,16,1
413,14,4,10,16384,14443,16,0
414,14,5,10,16384,12441,16,0
415,14,6,10,16384,9438,16,0
416,14,7,10,16384,6006,16,0
417,14,8,10,16384,3003,16,0
418,14,9,10,16384,1001,16,0
419,14,0,11,16384,16277,2,1
420,14,1,11,16384,16263,4,1
421,14,2,11,16384,16172,8,1
422,14,3,11,16384,15808,8,0
423,14,4,11,16384,14807,8,0
424,14,5,11,16384,12805,8,0
425,14,6,11,16384,9802,8,0
426,14,7,11,16384,6370,8,0
427,14,8,11,16384,3367,8,0
428,14,9,11,16384,1365,8,0
429,14,10,11,16384,364,8,0
430,14,0,12,16384,16368,2,1
431,14,1,12,16384,16354,4,1
432,14,2,12,16384,16263,4,0
433,14,3,12,16384,15899,4,0
434,14,4,12,16384,14898,4,0
435,14,5,12,16384,12896,4,0
436,14,6,12,16384,9893,4,0
437,14,7,12,16384,6461,4,0
438,14,8,12,16384,3458,4,0
439,14,9,12,16384,1456,4,0
440,14,10,12,16384,455,4,0
441,14,11,12,16384,91,4,0
442,14,0,13,16384,16382,2,1
443,14,1,13,16384,16368,2,0
444,14,2,13,16384,16277,2,0
445,14,3,13,16384,15913,2,0
446,14,4,13,16384,14912,2,0
447,14,5,13,16384,12910,2,0
448,14,6,13,16384,9907,2,0
449,14,7,13,16384,6475,2,0
450,14,8,13,16384,3472,2,0
451,14,9,13,16384,1470,2,0
452,14,10,13,16384,469,2,0
453,14,11,13,16384,105,2,0
454,14,12,13,16384,14,2,0
455,15,0,1,32768,15,2,14
456,15,0,2,32768,120,2,7
457,15,1,2,32768,105,4,6
458,15,0,3,32768,575,2,4
459,15,1,3,32768,560,4,4
460,15,2,3,32768,455,8,4
461,15,0,4,32768,1940,2,3
